"";"exercicio";"instituicao";"cod_ibge";"uf";"anexo";"rotulo";"coluna";"cod_conta";"conta";"valor";"populacao";"cod_interno"
"4013";2018;"Prefeitura Municipal de Itapebi - BA";2916302;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";40839041,02;10856;"TotalReceitas"
"4014";2018;"Prefeitura Municipal de Itapebi - BA";2916302;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";4869018,97;10856;"TotalReceitas"
"4015";2018;"Prefeitura Municipal de Itapetinga - BA";2916401;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";158030209,75;76881;"TotalReceitas"
"4016";2018;"Prefeitura Municipal de Itapetinga - BA";2916401;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";11372758,66;76881;"TotalReceitas"
"4017";2018;"Prefeitura Municipal de Itapicuru - BA";2916500;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";76548728,65;36320;"TotalReceitas"
"4018";2018;"Prefeitura Municipal de Itapicuru - BA";2916500;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";5862106,33;36320;"TotalReceitas"
"4019";2018;"Prefeitura Municipal de Itapitanga - BA";2916609;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";27726049,09;10799;"TotalReceitas"
"4020";2018;"Prefeitura Municipal de Itapitanga - BA";2916609;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - Transferências Constitucionais";"TotalReceitas";"Total Receitas";2729609,08;10799;"TotalReceitas"
"4021";2018;"Prefeitura Municipal de Itaquara - BA";2916708;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";22106415,82;8557;"TotalReceitas"
"4022";2018;"Prefeitura Municipal de Itaquara - BA";2916708;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";-2167497,44;8557;"TotalReceitas"
"4023";2018;"Prefeitura Municipal de Itarantim - BA";2916807;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";20588299,01;20206;"TotalReceitas"
"4024";2018;"Prefeitura Municipal de Itatim - BA";2916856;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";54609207,71;14895;"TotalReceitas"
"4025";2018;"Prefeitura Municipal de Itatim - BA";2916856;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";3644248,02;14895;"TotalReceitas"
"4026";2018;"Prefeitura Municipal de Itatim - BA";2916856;"BA";"DCA-Anexo I-C";"Padrão";"Outras Deduções da Receita";"TotalReceitas";"Total Receitas";38116,03;14895;"TotalReceitas"
"4027";2018;"Prefeitura Municipal de Itiruçu - BA";2916906;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";29726946,32;13280;"TotalReceitas"
